Trip_Distance_km,Trip_Duration_Minutes,Time_of_Day,Passenger_Count,Trip_Price
31.75,68.64,Morning,1.0,70.7341
29.63,6.31,Afternoon,3.0,56.345600000000005
45.16,85.1,Afternoon,3.0,79.833
3.23,48.24,Afternoon,2.0,27.1606
47.57,99.07,Afternoon,2.0,80.81119999999999
44.62,72.58,Afternoon,2.0,60.9462
23.33,34.0,Morning,1.0,59.0736
31.39,28.43,Afternoon,1.0,36.0271
14.59,44.14,Morning,2.0,25.1968
10.22,59.81,Morning,2.0,23.694900000000004
23.72,39.05,Afternoon,3.0,52.9083
18.31,64.22,Afternoon,1.0,42.6209
29.6,24.02,Afternoon,2.0,52.2336
4.81,117.44,Afternoon,1.0,46.1779
48.75,17.41,Afternoon,2.0,61.1936
49.32,112.17,Evening,1.0,88.6814
27.27,65.42,Afternoon,3.0,47.996
16.17,61.57,Afternoon,1.0,45.28790000000001
34.55,61.57,Afternoon,1.0,63.615
8.97,44.17,Afternoon,1.0,25.5304
41.3,71.5,Afternoon,1.0,37.17
47.54,61.57,Afternoon,1.0,68.4308
36.56,61.57,Evening,3.0,40.9716
46.7,14.65,Night,2.0,53.0315
43.44,11.01,Morning,1.0,39.9195
3.22,34.15,Morning,3.0,20.0527
2.29,13.54,Morning,1.0,13.9334
19.45,16.93,Afternoon,1.0,24.0367
40.72,98.49,Evening,2.0,63.3579
49.38,9.47,Morning,1.0,57.153000000000006
8.37,80.78,Night,3.0,52.9882
30.11,36.34,Morning,3.0,54.1983
19.66,105.23,Night,2.0,84.873
42.26,40.14,Morning,3.0,84.1558
42.08,64.53,Afternoon,1.0,73.86349999999999
23.97,48.93,Morning,1.0,45.2346
21.33,69.89,Morning,1.0,46.61750000000001
14.4,18.17,Afternoon,2.0,34.3543
3.76,119.65,Evening,2.0,45.31230000000001
43.37,53.94,Afternoon,3.0,56.61489999999999
40.83,45.05,Afternoon,1.0,75.92699999999999
49.99,86.67,Afternoon,3.0,80.7619
28.22,100.83,Morning,3.0,55.7598
38.68,57.24,Afternoon,2.0,73.2164
47.29,87.75,Morning,1.0,97.75249999999998
42.63,17.36,Morning,1.0,46.15260000000001
13.12,102.3,Afternoon,3.0,64.9824
7.33,29.35,Afternoon,2.0,29.9765
12.2,117.25,Afternoon,1.0,35.284
33.91,34.54,Morning,2.0,40.3595
31.29,57.45,Night,2.0,79.637
18.55,61.57,Afternoon,1.0,25.3115
26.5,114.61,Morning,1.0,77.4795
38.84,64.42,Afternoon,1.0,62.89040000000001
26.49,99.2,Night,1.0,66.6318
42.76,67.92,Afternoon,2.0,71.5568
28.49,41.23,Evening,2.0,53.8901
43.96,71.19,Morning,3.0,88.9502
7.57,103.8,Afternoon,3.0,40.163
2.41,31.26,Afternoon,2.0,11.5061
38.0,30.31,Evening,2.0,83.6299
31.4,28.13,Night,3.0,72.2196
35.5,111.09,Afternoon,2.0,109.89649999999996
11.44,103.06,Morning,1.0,38.2552
7.68,94.11,Evening,3.0,60.32639999999999
1.71,50.16,Morning,3.0,15.1029
18.18,63.0,Evening,2.0,46.316
29.91,58.4,Afternoon,1.0,52.678
20.22,34.14,Afternoon,1.0,24.4816
22.44,63.08,Morning,3.0,45.5584
45.3,8.51,Afternoon,3.0,37.7718
18.06,20.16,Afternoon,3.0,23.279
26.19,106.96,Afternoon,1.0,61.2287
39.4,91.44,Afternoon,2.0,72.9188
20.43,53.63,Evening,2.0,52.6406
31.48,64.47,Evening,1.0,46.4367
47.53,90.19,Morning,2.0,56.7461
8.21,95.18,Morning,3.0,46.49680000000001
25.14,43.04,Afternoon,2.0,40.2186
17.11,91.82,Afternoon,2.0,36.6701
12.77,20.9,Morning,3.0,17.662100000000002
4.72,50.89,Afternoon,1.0,35.6928
8.44,75.4,Evening,3.0,41.30720000000001
7.8,61.57,Afternoon,2.0,32.9075
9.91,61.11,Morning,1.0,38.348600000000005
17.94,85.75,Morning,1.0,58.0861
44.94,64.02,Evening,1.0,69.1938
24.22,61.57,Afternoon,2.0,86.3292
33.71,38.23,Morning,2.0,66.1224
9.44,14.92,Morning,1.0,12.6264
10.42,112.71,Morning,1.0,43.0058
3.0,48.49,Evening,2.0,26.111700000000003
9.28,71.29,Morning,3.0,38.447500000000005
5.35,87.36,Afternoon,1.0,22.8002
6.91,20.57,Morning,3.0,17.1693
23.58,38.5,Afternoon,2.0,29.778
11.11,21.64,Morning,1.0,13.3746
18.85,98.29,Afternoon,3.0,48.1365
25.67,30.6,Morning,3.0,61.54940000000001
34.83,87.5,Afternoon,3.0,79.71459999999999
2.93,113.48,Evening,2.0,43.60339999999999
40.17,65.69,Afternoon,2.0,93.1014
43.81,42.48,Afternoon,3.0,69.9316
46.12,59.7,Afternoon,3.0,102.4302
40.5,112.84,Afternoon,3.0,84.3528
10.04,107.25,Afternoon,2.0,44.4294
11.26,58.8,Morning,3.0,30.5768
19.15,80.61,Afternoon,2.0,38.9965
24.74,107.93,Night,3.0,88.8816
23.66,52.82,Morning,3.0,25.8856
37.63,74.12,Afternoon,2.0,72.356
2.8,86.63,Morning,3.0,44.2055
13.37,114.32,Afternoon,2.0,50.2412
35.95,33.13,Evening,2.0,49.78730000000001
27.07,35.88,Evening,1.0,31.2318
22.92,68.51,Morning,3.0,48.11750000000001
12.88,42.13,Morning,2.0,43.9909
14.19,61.57,Night,1.0,44.507000000000005
11.36,115.59,Afternoon,1.0,62.8
44.64,52.27,Evening,1.0,78.7809
30.09,45.84,Morning,2.0,62.6715
25.87,51.82,Evening,2.0,56.2678
39.67,52.06,Evening,1.0,61.871
5.26,67.5,Morning,1.0,33.344
27.32,62.17,Afternoon,2.0,48.3843
29.76,20.5,Morning,3.0,62.7544
22.15,24.45,Morning,2.0,32.985499999999995
7.25,19.51,Night,2.0,17.9592
14.91,112.25,Afternoon,1.0,65.9698
18.79,74.57,Afternoon,3.0,45.1726
28.97,51.21,Afternoon,3.0,65.195
30.68,93.45,Night,1.0,72.16069999999999
12.62,47.38,Afternoon,3.0,36.4212
5.99,115.4,Night,3.0,41.014300000000006
8.49,99.35,Evening,2.0,33.2317
13.05,103.2,Morning,1.0,38.9635
8.87,24.8,Night,3.0,24.6913
14.97,37.85,Evening,2.0,22.1172
9.5,36.15,Afternoon,1.0,29.2945
4.93,8.67,Evening,1.0,9.9494
21.11,36.5,Evening,3.0,30.4015
49.14,27.99,Afternoon,3.0,69.1972
20.49,96.76,Afternoon,1.0,74.2598
43.41,5.66,Afternoon,2.0,58.0149
41.04,54.37,Afternoon,2.0,44.101
13.64,51.91,Night,2.0,26.076
9.37,18.1,Afternoon,1.0,20.3509
33.76,82.76,Evening,1.0,102.3316
46.54,85.74,Morning,2.0,60.0264
28.28,87.9,Evening,2.0,71.6404
29.01,88.77,Afternoon,2.0,62.4379
38.71,114.7,Afternoon,2.0,86.3545
10.17,98.63,Evening,1.0,41.4372
16.86,108.96,Morning,1.0,75.7144
21.85,6.8,Afternoon,3.0,32.5735
25.87,112.39,Afternoon,2.0,62.7959
15.14,89.96,Morning,3.0,46.61319999999999
29.48,115.39,Morning,2.0,78.5578
24.58,70.61,Afternoon,1.0,58.59289999999999
27.1,113.75,Afternoon,3.0,53.040000000000006
3.54,55.94,Afternoon,2.0,20.2324
17.49,73.92,Afternoon,2.0,61.8896
7.59,59.78,Afternoon,2.0,23.9803
49.51,13.75,Morning,2.0,46.207800000000006
40.68,84.0,Morning,3.0,58.2448
13.48,96.07,Afternoon,3.0,38.769
38.25,109.53,Morning,1.0,67.24510000000001
30.19,113.33,Morning,2.0,70.6464
24.11,12.4,Evening,2.0,26.263
21.18,51.27,Afternoon,2.0,46.1432
46.55,42.88,Night,3.0,83.375
41.7,66.74,Afternoon,2.0,80.7792
48.29,109.74,Afternoon,3.0,104.1555
7.09,102.35,Night,2.0,39.1789
36.81,19.66,Morning,2.0,78.95210000000002
9.88,72.77,Morning,1.0,25.8142
37.31,35.63,Morning,2.0,54.9343
29.15,108.44,Afternoon,2.0,81.9816
7.85,51.3,Afternoon,3.0,28.7235
39.97,107.38,Night,3.0,47.846900000000005
10.88,61.57,Evening,2.0,41.9406
9.05,59.73,Afternoon,2.0,19.1069
40.91,19.1,Afternoon,1.0,57.53359999999999
33.59,111.71,Afternoon,1.0,69.7245
26.63,57.22,Afternoon,2.0,57.1264
25.87,89.47,Morning,1.0,34.4316
20.23,7.17,Afternoon,2.0,35.3812
41.01,16.56,Morning,1.0,84.7232
19.47,84.35,Afternoon,2.0,40.56649999999999
23.67,43.49,Evening,1.0,62.2353
15.77,61.57,Evening,3.0,63.0548
25.63,85.95,Morning,3.0,59.886
12.38,61.64,Afternoon,2.0,29.9606
45.08,110.21,Afternoon,2.0,70.29329999999999
19.81,61.26,Morning,3.0,43.8544
45.42,27.93,Evening,3.0,50.89789999999999
31.59,40.38,Morning,3.0,73.5544
31.76,33.58,Morning,3.0,34.952
7.82,93.64,Night,2.0,36.1464
27.14,24.44,Afternoon,2.0,31.4354
44.8,94.11,Morning,1.0,108.2325
16.27,61.57,Evening,1.0,28.164300000000004
2.64,98.23,Morning,1.0,51.2833
28.92,10.15,Afternoon,1.0,22.5469
38.36,39.09,Evening,3.0,49.3168
43.96,37.22,Afternoon,2.0,59.0718
17.76,21.79,Afternoon,2.0,32.1634
41.24,38.26,Afternoon,1.0,60.92600000000001
25.87,61.57,Afternoon,1.0,19.0904
7.25,81.33,Afternoon,3.0,23.3579
20.47,48.83,Night,3.0,31.306
25.87,87.74,Evening,1.0,77.0499
36.39,67.24,Afternoon,2.0,44.5344
36.28,7.73,Afternoon,2.0,66.039
35.0,53.07,Morning,2.0,64.2861
27.59,113.43,Night,1.0,75.27289999999999
17.94,15.13,Afternoon,2.0,33.2741
9.9,102.33,Afternoon,3.0,45.4312
20.64,99.33,Afternoon,3.0,33.4215
47.42,30.47,Afternoon,3.0,95.9602
29.73,68.12,Evening,1.0,47.488200000000006
25.79,66.91,Afternoon,2.0,30.5797
30.96,69.98,Afternoon,2.0,53.9468
1.89,114.1,Morning,2.0,52.77959999999999
25.87,105.71,Evening,2.0,74.58429999999998
35.14,113.49,Morning,2.0,53.550900000000006
46.2,16.33,Morning,1.0,77.40390000000001
8.47,61.93,Evening,2.0,25.4565
30.73,63.09,Morning,3.0,72.553
46.78,34.03,Afternoon,3.0,90.7801
46.35,89.15,Morning,1.0,68.52850000000001
23.09,23.94,Morning,3.0,48.835
6.55,45.41,Morning,3.0,21.6555
42.11,45.23,Evening,1.0,67.3902
7.11,86.46,Morning,2.0,20.2751
25.87,61.57,Morning,3.0,66.85679999999999
43.62,68.86,Morning,2.0,46.90559999999999
26.42,16.49,Night,3.0,60.7394
29.97,97.58,Morning,3.0,64.86420000000001
20.55,47.54,Evening,3.0,53.16
3.68,79.58,Afternoon,3.0,43.224
40.34,29.11,Morning,1.0,43.31230000000001
1.23,106.74,Morning,1.0,45.6902
25.87,75.87,Afternoon,1.0,38.4514
20.51,54.3,Evening,3.0,50.07450000000001
46.07,113.36,Afternoon,3.0,87.7201
17.97,91.83,Morning,3.0,33.3599
18.0,28.92,Night,1.0,45.513200000000005
37.14,43.84,Evening,3.0,52.0972
23.16,98.11,Morning,2.0,62.1095
25.87,85.0,Night,3.0,45.9582
23.17,93.07,Afternoon,2.0,78.1988
7.9,55.74,Afternoon,3.0,42.1098
45.83,61.57,Morning,3.0,65.9479
18.76,117.24,Afternoon,2.0,53.4536
25.87,58.01,Morning,3.0,68.2181
1.64,82.51,Afternoon,2.0,41.3681
9.72,101.99,Afternoon,2.0,36.2571
48.09,92.6,Afternoon,1.0,90.4747
49.85,104.35,Morning,3.0,76.737
25.61,79.89,Evening,3.0,66.9097
4.29,17.92,Morning,3.0,13.9727
37.75,44.99,Evening,2.0,30.0888
11.29,105.79,Evening,3.0,62.6572
45.0,28.19,Evening,3.0,72.13080000000001
10.34,95.63,Morning,1.0,43.8625
2.79,101.08,Evening,1.0,30.371
24.13,23.71,Afternoon,1.0,57.0497
28.68,103.25,Evening,2.0,40.174
4.22,83.98,Evening,3.0,25.095
39.0,64.81,Evening,1.0,90.8983
26.7,53.21,Morning,1.0,47.8069
22.6,27.31,Afternoon,1.0,51.058800000000005
20.64,37.76,Night,3.0,40.2564
28.42,63.09,Night,3.0,59.74210000000001
8.61,66.1,Morning,3.0,32.2544
9.91,97.64,Morning,2.0,57.075500000000005
